X.1,X,file,dataset,genotype,plant,px_cm,base_x,base_y,tip_x,tip_y,L_x,L_y,R_x,R_y,M_x,M_y,PC1,PC2,width,length,area,solidity,asymmetry,circ,ar,number_seeds,see_weight_mg,lateral_shoots,left_angle,right_angle,paper_genotype,seeds_per_fruit,seed_weight_fruit
270,270,fruit_8_2095_8_20_set2_rep1.jpg,20,20.295,ac,300,486,156,48.5,142.5,40,264,45.5,31.5,180.5,135.5,0.1333905034534117,-0.056484323,0.8697761438596397,1.5238020983295817,0.6901231813327087,0.8842517993215298,0.00841689,0.4609223803323292,0.5673241612402526,528,180,8,39.410178761766055,40.64515991576786,NY_30,17.6,6
271,271,fruit_8_6c_8_20_set2_rep3.jpg,20,Magnolia6,ad,300,487,191,34.5,180.5,51,334,55.5,38.5,201.5,170.5,-0.009055546,-0.037193075,1.075974219248646,1.5394835762710728,0.869792393,0.9029426657137916,0.009928274,0.5362972158936926,0.7002476491709785,422,50,6,43.9439711729599,45.54382970475095,MI_30,14.066666666666666,1.6666666666666667
272,272,fruit_8_6C_8_20_set3_rep2.jpg,20,Magnolia6,ah,300,483,185,49.5,178.5,50,327,49.5,44.5,198.5,176.5,-0.031736451,-0.072512991,1.0611936379535352,1.5200811928694085,0.830567966,0.8579863619773835,0.005713447,0.5052507309843847,0.6885501821982297,468,40,6,44.61421896305671,42.306951626442945,MI_30,15.6,1.3333333333333333
273,273,fruit_8_6C_8_20_set3_rep3.jpg,20,Magnolia6,ag,300,482,172,29.5,175.5,44,317,61.5,36.5,185.5,154.5,0.08062849,-0.059060147,1.005043282214703,1.5145377595362943,0.8035389370562172,0.8776285020888877,0.019429182,0.4992521181816942,0.6541278656170384,424,30,7,41.28485021956811,51.24653871541513,MI_30,14.133333333333333,1
274,274,fruit_9_142_8_20_set3_rep2.jpg,20,14.2,af,300,482,158,52.5,159.5,38,271,58.5,21.5,191.5,138.5,0.095542948,-0.08919135,0.8883652448167497,1.5173141943029689,0.6535251459335036,0.8598459670382135,0.034357656,0.4539323758076058,0.572615869,614,30,7,32.209278127544195,49.92928985670784,NY_09,20.466666666666665,1
275,275,fruit_9_142_8_20_set3_rep3.jpg,20,14.2,aa,300,485,157,34.5,137.5,63,262,74.5,33.5,161.5,140.5,0.1502172354690508,-0.042006521,0.84571187,1.5344704852040183,0.6404111028407016,0.8650375646233645,0.008352014,0.4646919727657824,0.5512338596487397,684,40,6,52.32152415129662,49.53279587924859,NY_09,22.8,1.3333333333333333
276,276,fruit_9_20295_8_20_set3_rep2.jpg,20,20.295,ab,300,482,140,43.5,149.5,41,262,46.5,22.5,202.5,138.5,0.1238264895803099,-0.061222639,0.8695128538080058,1.5138181356323497,0.6743624340897547,0.8667193958709104,0.0176495195903335,0.4489770517885575,0.5662265883776842,696,60,9,33.447803517280704,40.59166699009527,NY_30,23.2,2
277,277,fruit_9_20295_8_20_set3_rep3.jpg,20,20.295,af,300,481,159,41.5,158.5,44,290,53.5,35.5,188.5,158.5,0.06721033,-0.05327549,0.9490504447391084,1.5103368863377973,0.7415910722035335,0.8801383810207557,0.006023409,0.5041382381000482,0.6187651533158758,614,30,7,42.30327883622937,42.33699923393285,NY_30,20.466666666666665,1
278,278,fruit_9_2095_8_20_set2_rep1.jpg,20,20.295,ac,300,482,128,51.5,135.5,47,241,42.5,27.5,185.5,130.5,0.1680677494967834,-0.011567633,0.7949982077290182,1.527727589406713,0.5762908144827961,0.8397094567652644,0.0241961438603126,0.3861673182716245,0.5193223974921007,528,180,8,36.44714277786526,37.901351760591325,NY_30,17.6,6
279,279,fruit_9_6c_17_30_set2_rep3_image2.jpg,30,Magnolia6,ae,300,482,119,44.5,235.5,351,59,397.5,246.5,237.5,151.5,0.0147404688311311,0.1141244247983126,1.0249803997001836,1.5341361900619972,1.0367724901678308,0.9541164374996914,0.065048177,0.6629362460113117,0.6665786280145977,0,0,7,164.34099697840904,125.78000471630158,MI_30,0,0
280,280,fruit_9_6c_8_20_set2_rep3.jpg,20,Magnolia6,ad,300,478,193,50.5,182.5,46,330,61.5,42.5,188.5,182.5,-0.014405724,-0.050061258,1.0883761305603723,1.5134808840841578,0.914069587193154,0.91020784,0.0116621677547709,0.5368634463093708,0.7009461302215547,422,50,6,45.98776039963981,47.787480842032025,MI_30,14.066666666666666,1.6666666666666667
281,281,fruit_9_6C_8_20_set3_rep2.jpg,20,Magnolia6,ah,300,479,188,62.5,186.5,45,338,57.5,41.5,194.5,177.5,0.016374482,-0.080274229,1.087045058534853,1.5104594992128542,0.8401952623323545,0.8662086161266206,0.003658276,0.5008497276932043,0.7102593912019425,468,40,6,43.131729663430505,48.690620030814344,MI_30,15.6,1.3333333333333333
282,282,fruit_9_6C_8_20_set3_rep3.jpg,20,Magnolia6,ag,300,484,194,33.5,185.5,56,330,71.5,47.5,187.5,178.5,0.053994076,-0.051696453,1.062428363815766,1.5094619859001408,0.8500508236138309,0.8595324537648109,0.010058232876427,0.541128636,0.7055663175653504,424,30,7,46.43988850363822,51.0777949792299,MI_30,14.133333333333333,1
283,283,2.16_8_20_set5_rep.22_fruit3.jpg,20,2.16,bf,300,465,154,38.5,165.5,38.5,282.5,41.5,35.5,230.5,152.5,0.063770053,-0.044409228,0.9036702159791798,1.530329932163255,0.8108590890881864,0.9325966827088976,0.0124977653559283,0.4901991218292313,0.583072483,423,87,4,30.227784469902577,35.63296980915737,NY_63,14.1,2.9
284,284,2.16_8_20_set5_rep1_fruit1.jpg,20,2.16,be,300,464,167,42.5,156.5,41.5,278.5,51.5,27.5,225.5,142.5,0.06476747,-0.054187365,0.9107823377721465,1.5039762792291969,0.7648675154738207,0.8995413106470855,0.007601499,0.495282322,0.5958692061528156,534,176.2,5,32.09447210909642,37.83625743102402,NY_63,17.8,5.873333333333333
285,285,2.16_8_20_set5_rep1_fruit2.jpg,20,2.16,be,300,471,140,40.5,151.5,42.5,250.5,38.5,30.5,206.5,141.5,0.075237998,-0.042042794,0.8242338833816905,1.5235736670635878,0.7063290220164085,0.9017419398909252,0.007937113,0.4608684091138044,0.5381296246639995,534,176.2,5,30.16198244647147,36.90069630593787,NY_63,17.8,5.873333333333333
286,286,2.16_8_20_set5_rep1_fruit3.jpg,20,2.16,be,300,470,123,52.5,118.5,33.5,195.5,55.5,28.5,211.5,104.5,0.1657176085689737,0.003167472,0.6542686194939288,1.5163622489880944,0.6166390752725537,0.9183622038041184,0.015833578,0.4292043316100686,0.4299795854326717,534,176.2,5,22.04581718009734,31.006328185260536,NY_63,17.8,5.873333333333333
287,287,2.16_8_20_set5_rep1_fruit4.jpg,20,2.16,be,300,471,167,35.5,158.5,36.5,284.5,47.5,35.5,211.5,150.5,0.052847468,-0.057924073,0.9266780747054808,1.5114122893059954,0.7873921589483643,0.9054267196967034,0.015403849,0.5010159216635169,0.6038172007559277,534,176.2,5,34.83923439400594,37.64145010390828,NY_63,17.8,5.873333333333333
288,288,2.16_8_20_set5_rep1_fruit5.jpg,20,2.16,be,300,480,147,32.5,151.5,51.5,268.5,45.5,34.5,210.5,141.5,0.1001407161154512,0.005706329,0.871486921,1.5041014852164394,0.8041786985482489,0.9404472580747136,0.015655524,0.516868849,0.5841963986179004,534,176.2,5,35.40035206873934,36.17828167138246,NY_63,17.8,5.873333333333333
